*.uuid,*.event,*.properties.api,*.properties.$lib_version,*.properties.platform,*.properties.database,*.properties.auth,*.properties.$geoip_disable,*.properties.backend,*.properties.packageManager,*.properties.$lib,*.properties.dbSetup,*.properties.addons.0,*.properties.addons.1,*.properties.addons.2,*.properties.node_version,*.properties.runtime,*.properties.git,*.properties.orm,*.properties.cli_version,*.properties.install,*.properties.frontend.0,*.properties.$sent_at,*.properties.$transformations_succeeded.0,*.properties.$transformations_succeeded.1,*.timestamp,*.team_id,*.distinct_id,*.elements_chain,*.created_at,*.properties.examples.0,*.properties.examples.1,*.properties.addons.3,*.properties.frontend.1,*.properties.addons.4,*.properties.addons.5,*.properties.$ip,*.properties.timestamp,*.properties.projectDir,*.properties.projectName,*.properties.relativePath,event,person_display_name -- Person.display_name,person_display_name -- Person.id,"coalesce(properties.$current_url, properties.$screen_name) -- Url / Screen",properties.$lib,timestamp
01971f6a-de7d-738b-9f53-3644a91772ab,project_created,orpc,4.18.0,darwin,postgres,False,True,elysia,bun,posthog-node,none,turborepo,biome,husky,v24.0.0,bun,True,drizzle,2.14.1,True,tanstack-router,2025-05-30T04:19:46.941Z,IP Anonymization (01971718-ae6a-0000-59c6-768abd05a9b7),Property Filter (0197176d-380a-0000-8ad0-1921c6ff6e56),2025-05-30 04:19:47.734000+00:00,162968,cli_c84a3b33126d408d8ae8264a13dc4934,,2025-05-30 04:19:48.026000+00:00,,,,,,,,,,,,project_created,cli_c84a3b33126d408d8ae8264a13dc4934,31e0a806-62ca-58b7-b6f0-ff91177b9f21,,posthog-node,2025-05-30 04:19:47.734000+00:00
01971f53-c934-70f8-8ee4-aa8c01e976da,project_created,trpc,4.18.0,win32,none,False,True,hono,bun,posthog-node,none,biome,husky,,v22.6.0,bun,True,none,2.14.1,True,,2025-05-30T03:54:34.165Z,IP Anonymization (01971718-ae6a-0000-59c6-768abd05a9b7),Property Filter (0197176d-380a-0000-8ad0-1921c6ff6e56),2025-05-30 03:54:34.730000+00:00,162968,cli_03cdb430176e41eb822ca15014b253f9,,2025-05-30 03:54:34.920000+00:00,,,,,,,,,,,,project_created,cli_03cdb430176e41eb822ca15014b253f9,66622916-4192-54b6-a385-da6c82581cac,,posthog-node,2025-05-30 03:54:34.730000+00:00
01971f53-3706-79e8-affd-64a977d847ed,project_created,trpc,4.18.0,win32,none,False,True,hono,bun,posthog-node,none,biome,husky,,v22.6.0,bun,True,none,2.14.1,True,,2025-05-30T03:53:56.744Z,IP Anonymization (01971718-ae6a-0000-59c6-768abd05a9b7),Property Filter (0197176d-380a-0000-8ad0-1921c6ff6e56),2025-05-30 03:53:57.354000+00:00,162968,cli_faf06797570244429b0f6222e6f2cad9,,2025-05-30 03:53:57.804000+00:00,,,,,,,,,,,,project_created,cli_faf06797570244429b0f6222e6f2cad9,8388b7f1-cd25-5a9a-ac0e-d841a76f9a13,,posthog-node,2025-05-30 03:53:57.354000+00:00
01971f46-7813-772c-aaca-710845587947,project_created,none,4.18.0,linux,none,False,True,convex,pnpm,posthog-node,none,biome,turborepo,,v22.16.0,none,False,none,2.14.1,True,next,2025-05-30T03:40:01.428Z,IP Anonymization (01971718-ae6a-0000-59c6-768abd05a9b7),Property Filter (0197176d-380a-0000-8ad0-1921c6ff6e56),2025-05-30 03:40:02.379000+00:00,162968,cli_94aa7dd8d08f40d18139c10bdf89dfa8,,2025-05-30 03:40:02.612000+00:00,todo,,,,,,,,,,,project_created,cli_94aa7dd8d08f40d18139c10bdf89dfa8,bede2d01-fa8c-59e2-b146-1d9c9264f2db,,posthog-node,2025-05-30 03:40:02.379000+00:00
01971f04-a241-77dc-84a5-7b94835f3d02,project_created,none,4.18.0,win32,none,False,True,none,pnpm,posthog-node,none,,,,v22.8.0,none,True,none,2.14.1,True,tanstack-router,2025-05-30T02:28:06.85Z,IP Anonymization (01971718-ae6a-0000-59c6-768abd05a9b7),Property Filter (0197176d-380a-0000-8ad0-1921c6ff6e56),2025-05-30 02:30:36.854000+00:00,162968,cli_e92dc3673be44f9d9456a04b36bddc42,,2025-05-30 02:30:37.138000+00:00,,,,,,,,,,,,project_created,cli_e92dc3673be44f9d9456a04b36bddc42,ab2c5298-8a04-55c1-84d7-f9d403a936c4,,posthog-node,2025-05-30 02:30:36.854000+00:00
01971ef9-a508-7a73-b24f-d94d9c407033,project_created,none,4.18.0,darwin,none,False,True,convex,bun,posthog-node,none,biome,turborepo,,v20.12.2,none,True,none,2.14.1,True,tanstack-router,2025-05-30T02:16:06.664Z,IP Anonymization (01971718-ae6a-0000-59c6-768abd05a9b7),Property Filter (0197176d-380a-0000-8ad0-1921c6ff6e56),2025-05-30 02:16:06.899000+00:00,162968,cli_51739b8ead8948f99519874bbdc11c78,,2025-05-30 02:16:07.132000+00:00,todo,,,,,,,,,,,project_created,cli_51739b8ead8948f99519874bbdc11c78,8750a9d7-2944-5d25-809d-be085c8537a4,,posthog-node,2025-05-30 02:16:06.899000+00:00
01971eee-0da5-701a-9898-beee7bc106d1,project_created,trpc,4.18.0,win32,postgres,True,True,hono,pnpm,posthog-node,none,biome,husky,turborepo,v20.14.0,node,True,prisma,2.14.1,True,tanstack-router,2025-05-30T02:03:27.014Z,IP Anonymization (01971718-ae6a-0000-59c6-768abd05a9b7),Property Filter (0197176d-380a-0000-8ad0-1921c6ff6e56),2025-05-30 02:03:26.453000+00:00,162968,cli_fca8a8ecbc794ce58b2c96a4e8f8217f,,2025-05-30 02:03:28.247000+00:00,,,,,,,,,,,,project_created,cli_fca8a8ecbc794ce58b2c96a4e8f8217f,a894fe42-8198-5dda-9430-852b1f687c73,,posthog-node,2025-05-30 02:03:26.453000+00:00
01971eec-c50b-7e45-b0cc-480ff32311c0,project_created,trpc,4.18.0,win32,postgres,True,True,hono,pnpm,posthog-node,none,biome,husky,turborepo,v20.14.0,bun,True,prisma,2.14.1,True,tanstack-router,2025-05-30T02:02:02.892Z,IP Anonymization (01971718-ae6a-0000-59c6-768abd05a9b7),Property Filter (0197176d-380a-0000-8ad0-1921c6ff6e56),2025-05-30 02:02:02.362000+00:00,162968,cli_37ce9dbd1c4b4fa6bc2aee90167c56c2,,2025-05-30 02:02:02.638000+00:00,,,,,,,,,,,,project_created,cli_37ce9dbd1c4b4fa6bc2aee90167c56c2,5de9803a-5a4b-59f4-85f1-357cb458ed57,,posthog-node,2025-05-30 02:02:02.362000+00:00
01971eeb-2457-70f4-ae86-b9a740233d26,project_created,trpc,4.18.0,win32,postgres,True,True,hono,bun,posthog-node,none,biome,husky,turborepo,v20.14.0,bun,True,prisma,2.14.1,True,tanstack-router,2025-05-30T02:00:16.216Z,IP Anonymization (01971718-ae6a-0000-59c6-768abd05a9b7),Property Filter (0197176d-380a-0000-8ad0-1921c6ff6e56),2025-05-30 02:00:15.683000+00:00,162968,cli_4c90b5418406475cbee24b446a096dfc,,2025-05-30 02:00:16.111000+00:00,,,,,,,,,,,,project_created,cli_4c90b5418406475cbee24b446a096dfc,48af35a3-93e3-5095-b67e-5d025623c736,,posthog-node,2025-05-30 02:00:15.683000+00:00
01971ee0-04f7-7559-9cd9-97ef00d7aea4,project_created,trpc,4.18.0,linux,postgres,True,True,hono,pnpm,posthog-node,none,turborepo,biome,husky,v20.19.2,node,False,drizzle,2.14.1,True,tanstack-router,2025-05-30T01:48:07.287Z,IP Anonymization (01971718-ae6a-0000-59c6-768abd05a9b7),Property Filter (0197176d-380a-0000-8ad0-1921c6ff6e56),2025-05-30 01:48:07.636000+00:00,162968,cli_2199e07712764548b9bba6b3252b2452,,2025-05-30 01:48:08.026000+00:00,ai,todo,,,,,,,,,,project_created,cli_2199e07712764548b9bba6b3252b2452,01287a9c-2bbb-5800-bc7d-6e371485a7d5,,posthog-node,2025-05-30 01:48:07.636000+00:00
